0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
39,5.5948,4.9932,2.8828,5.8551,6.6919,4.6639,5.6602,6.1046,7.0683,7.0923,4.2557,3.2515,3.485,5.3819,9.0682,8.9867,2.5993,7.8441,2.7398,10.91,12.976,10.754,3.8729,3.2728,1.8639,9.0763,2.01,11.246,12.968,4.0704,6.1944,9.7493,8.2381,4.9516,3.0466,6.6113,8.2308,10.675,0,10.108,6.8475,1.2931,6.4019,5.622,4.9408,4.1276,11.239,11.826,3.5091,2.3146,1.8189,4.9975,4.0025,5.9853
40,14.997,9.8275,8.3574,6.3616,5.8021,6.2824,14.774,10.913,7.762,16.484,8.8823,9.2888,8.7535,5.6331,18.63,19.019,10.874,2.8706,12.684,3.1729,3.2253,5.2932,13.92,10.97,11.58,4.8011,11.319,1.2789,3.0427,10.996,6.8462,1.9188,18.335,14.465,11.028,5.4099,1.9974,2.6055,10.108,0,15.939,9.0831,5.4391,4.6286,14.202,9.0942,2.4799,2.2264,13.094,11.822,8.711,5.6138,6.9492,4.519
41,7.4966,7.0565,8.4802,10.339,11.125,10.972,2.5726,6.6004,9.9006,2.2087,7.5262,7.1055,10.082,10.789,3.2366,5.5634,8.3283,14.031,5.2217,15.762,18.422,17.481,5.1931,5.203,5.5258,13.242,5.2488,17.022,18.79,5.1296,9.9002,16.046,4.947,2.1346,8.8182,13.379,14.255,17.056,6.8475,15.939,0,7.2711,10.904,11.969,1.9308,7.0445,16.334,17.178,3.6076,4.8188,8.3795,11.489,9.1472,12.068
42,6.8347,4.1379,2.2476,4.6896,5.5012,4.0009,6.1347,5.3186,5.8605,7.6975,3.2428,2.4598,3.711,4.3016,9.749,10.016,3.5823,6.9569,3.7942,9.7114,11.886,10.252,5.0417,2.9501,2.6929,7.8113,2.4451,10.217,11.967,3.5277,4.9344,8.8991,9.2775,5.5435,4.0617,6.1614,7.2553,9.8751,1.2931,9.0831,7.2711,0,5.1209,4.7661,5.3926,3.0608,10.065,10.701,4.1353,2.8816,1.6387,4.2995,2.8014,5.0621
43,11.808,4.6984,4.7875,2.1742,1.9686,4.546,9.9414,5.5731,2.7468,11.637,3.8714,4.6764,6.8902,2.576,13.744,14.734,8.151,4.6285,8.712,4.9306,7.5923,9.0446,10.065,6.0769,7.4962,2.782,6.9579,6.3899,8.1359,5.8145,1.5896,6.2715,14.061,9.713,8.6167,6.2594,4.3075,7.3316,6.4019,5.4391,10.904,5.1209,0,3.8875,9.347,3.8658,5.4322,6.3225,8.5877,7.4912,5.6182,4.5624,2.8735,3.7182
44,10.48,6.9108,4.42,4.3145,4.4782,2.5637,10.782,8.2376,6.3394,12.413,5.7652,5.6933,4.4446,2.9828,14.504,14.576,6.3672,2.6232,8.249,6.3152,7.7078,5.9645,9.3981,7.2049,7.2317,5.6965,7.1028,5.8034,7.4967,7.4866,5.0391,4.1976,13.849,10.305,6.4647,2.5419,2.7979,5.1806,5.622,4.6286,11.969,4.7661,3.8875,0,10.113,5.8788,6.2764,6.5822,8.8141,7.5043,4.149,1.1903,3.3473,1.2194
45,6.4174,5.8511,6.7566,8.8262,9.6404,9.1772,2.3239,5.7418,8.6876,3.0399,6.0864,5.5407,8.2475,9.1211,4.6985,6.0594,6.5758,12.244,3.6105,14.24,16.796,15.606,3.8487,3.6883,3.7665,11.828,3.4776,15.311,17.085,3.7714,8.4865,14.23,5.2669,1.0542,7.0372,11.487,12.482,15.231,4.9408,14.202,1.9308,5.3926,9.347,10.113,0,5.5614,14.747,15.539,1.7399,2.8945,6.4515,9.5915,7.385,10.226
46,9.1962,2.0412,3.6962,3.6793,4.3415,5.4533,6.2412,2.7202,3.404,7.8737,1.5334,2.2145,6.4084,4.316,9.9266,11.18,6.4744,7.5708,5.7014,8.7308,11.419,11.661,7.0069,2.5109,4.5551,6.2737,3.8001,10.122,11.884,1.9608,2.9648,9.5229,10.507,5.9778,7.0945,7.9566,7.5929,10.582,4.1276,9.0942,7.0445,3.0608,3.8658,5.8788,5.5614,0,9.2968,10.173,5.0894,4.2713,4.4151,5.877,2.9174,5.8831
47,16.418,9.895,9.3653,6.5846,5.807,7.7461,15.303,10.7,7.2123,17.023,9.1427,9.8452,10.445,6.4173,19.156,19.967,12.389,4.7759,13.741,1.3663,2.5249,7.6625,15.059,11.443,12.559,3.6803,12.15,2.3458,3.4841,11.244,6.6445,4.3616,19.295,15.093,12.668,7.5996,3.887,4.8997,11.239,2.4799,16.334,10.065,5.4322,6.2764,14.747,9.2968,0,1.1556,13.858,12.669,10.007,7.293,7.6617,5.9894
48,16.928,10.853,10.033,7.4804,6.7482,8.2104,16.144,11.716,8.2787,17.86,10.042,10.666,10.809,7.1351,19.993,20.668,12.841,4.9552,14.388,2.4151,1.972,7.1634,15.67,12.282,13.233,4.8016,12.874,1.7903,2.6492,12.126,7.6277,4.0003,19.972,15.88,13.039,7.6253,4.0589,4.3435,11.826,2.2264,17.178,10.701,6.3225,6.5822,15.539,10.173,1.1556,0,14.562,13.337,10.485,7.5523,8.3117,6.2764
49,5.6412,5.7968,5.8085,8.1957,9.025,8.0264,3.4832,6.0737,8.4396,4.4107,5.6909,4.985,6.8754,8.2324,6.0698,6.6219,5.2139,11.089,2.6539,13.466,15.856,14.225,2.9946,3.4433,2.7466,11.233,2.6236,14.249,16.026,3.7245,7.9807,12.993,5.668,2.1183,5.5077,10.075,11.339,13.973,3.5091,13.094,3.6076,4.1353,8.5877,8.8141,1.7399,5.0894,13.858,14.562,0,1.3222,4.9259,8.1716,6.2815,8.918
50,5.7707,5.2315,4.7449,7.1717,7.9938,6.8176,4.3352,5.7749,7.6449,5.5294,4.8875,4.1428,5.769,7.0801,7.3232,7.6951,4.378,9.815,2.5441,12.322,14.634,12.94,3.2932,2.9839,2.1708,10.193,2.0067,12.988,14.762,3.3544,7.0321,11.69,6.7712,3.2108,4.6497,8.792,10.06,12.668,2.3146,11.822,4.8188,2.8816,7.4912,7.5043,2.8945,4.2713,12.669,13.337,1.3222,0,3.6194,6.8496,5.0628,7.6113
51,6.9346,5.6977,3.1614,5.532,6.2392,3.9082,7.4044,6.8778,6.9702,8.8366,4.7098,4.006,3.1238,4.7522,10.771,10.647,3.3241,6.599,4.5032,9.8577,11.728,9.3926,5.4819,4.55,3.6796,8.3072,3.7247,9.9032,11.629,5.0491,5.8667,8.3112,9.8081,6.6212,3.3186,5.2551,6.894,9.2376,1.8189,8.711,8.3795,1.6387,5.6182,4.149,6.4515,4.4151,10.007,10.485,4.9259,3.6194,0,3.3405,2.9997,4.3823
52,9.7871,7.1113,4.4266,5.0366,5.3381,2.9562,10.421,8.4086,6.9312,11.979,5.9518,5.7224,3.9907,3.7608,14,13.924,5.7251,3.7285,7.6703,7.4092,8.7688,6.4613,8.7127,7.013,6.7402,6.6683,6.6864,6.8229,8.4944,7.3181,5.6151,5.0777,13.128,9.8027,5.6413,2.6991,3.8941,5.9991,4.9975,5.6138,11.489,4.2995,4.5624,1.1903,9.5915,5.877,7.293,7.5523,8.1716,6.8496,3.3405,0,3.1936,1.482
53,9.5852,4.574,3.635,3.6358,4.108,4.0091,8.3747,5.5672,4.5392,9.9658,3.5219,3.7151,5.2052,3.3136,11.986,12.624,6.017,5.5008,6.5566,7.4582,9.7243,9.3106,7.764,4.6783,5.4381,5.635,5.0133,8.1287,9.9357,4.5533,3.3558,7.1972,11.801,7.795,6.2603,5.635,5.4153,8.26,4.0025,6.9492,9.1472,2.8014,2.8735,3.3473,7.385,2.9174,7.6617,8.3117,6.2815,5.0628,2.9997,3.1936,0,3.0939
54,11.089,7.1864,5.1561,4.7331,4.8111,3.6839,11.121,8.3561,6.3545,12.721,6.0591,6.1386,5.3491,3.6548,14.759,14.964,7.0539,3.2735,8.702,6.198,7.6597,6.5369,9.8164,7.4858,7.679,5.5656,7.4853,5.7791,7.52,7.572,5.0557,4.4195,14.146,10.537,7.0376,3.4653,3.0396,5.4371,5.9853,4.519,12.068,5.0621,3.7182,1.2194,10.226,5.8831,5.9894,6.2764,8.918,7.6113,4.3823,1.482,3.0939,0
