0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
23,5.4964,5.5342,6.6899,3.2983,4.4844,5.8465,7.0093,7.21,4.9074,6.2422,4.0181,2.5584,2.9874,7.1202,5.9946,3.0769,3.2998,3.5591,4.887,7.4909,6.4967,4.8242,0,1.8607,2.2069,2.4497,6.6642,6.4086,3.85,6.1456,4.2679,3.663,2.565,3.2397,4.9366,5.5255,3.12,5.2041,4.3863,4.7087,7.1269,5.4969,6.1728,3.9859,4.133,4.2863,6.6972,6.5299,4.7856,6.1817,5.8421
24,6.258,6.9905,7.4751,2.51,6.1482,7.5025,8.5052,8.1625,4.9734,7.423,2.9755,4.2477,3.1788,6.736,6.4013,2.5578,4.1863,2.2021,3.9758,7.9496,6.6773,3.1811,1.8607,0,1.6466,4.2235,5.6501,5.8644,4.2749,7.8275,5.0573,1.8616,0.72471,4.9085,4.2639,6.5145,2.6822,6.9491,5.9796,4.8322,7.8486,6.9423,6.1702,4.3321,3.4995,5.4967,7.8415,5.9867,4.6896,5.3523,5.7814
25,4.999,6.1175,6.1156,2.9599,5.6556,6.7441,7.4708,6.7244,3.5747,6.1543,2.4505,4.4671,2.0386,5.3466,4.8985,1.9918,2.9467,2.9249,2.751,6.345,5.0601,3.0448,2.2069,1.6466,0,4.4629,4.4871,4.3759,2.701,7.0992,3.6394,2.3574,2.0235,4.7523,2.8393,5.1578,1.3536,6.7343,5.4444,3.2999,6.348,6.176,4.5783,3.2421,3.1155,5.1307,6.9413,4.895,4.7004,4.636,4.733
26,6.2911,5.1131,7.294,5.4897,3.6578,4.8157,6.2481,7.4235,6.5169,6.2068,6.3681,1.8941,4.8232,8.9164,7.1139,5.3007,4.3226,5.8934,7.0818,8.3309,7.7397,7.2588,2.4497,4.2235,4.4629,0,8.8235,8.2594,5.1185,4.6299,4.8949,6.0021,4.8692,1.5378,6.8512,5.5998,5.0016,3.0492,2.9703,5.935,7.4069,4.3296,7.4096,4.8357,5.6082,3.3497,5.8796,7.9303,5.3818,7.7264,6.7489
27,6.0941,8.5906,6.6688,5.5824,8.9412,9.5958,9.6187,7.4346,3.8545,7.7097,3.5768,8.5865,4.5793,2.8837,4.8957,4.4301,5.5321,5.3406,1.8058,5.7515,4.229,3.3672,6.6642,5.6501,4.4871,8.8235,0,1.7386,4.524,10.196,5.6918,4.6573,5.523,8.8308,2.4335,6.8998,4.1669,10.614,9.0226,4.3568,6.9477,9.2403,4.0815,5.7176,5.4965,8.731,9.4021,4.6644,7.6332,4.9469,5.8558
28,4.8757,7.3798,5.2454,5.954,7.9636,8.3495,8.1649,5.8013,2.9174,6.2179,4.0606,8.0686,4.0885,2.1131,3.457,4.4889,4.5469,5.9617,2.1447,4.0463,2.5572,4.4502,6.4086,5.8644,4.3759,8.2594,1.7386,0,3.3885,8.9073,4.4121,5.3504,5.9365,8.0573,2.0737,5.4286,3.8723,9.6476,7.9924,3.2264,5.3186,8.0418,2.6329,4.9245,5.4761,7.9148,8.159,4.3036,7.4568,5.0378,5.1636
29,3.2078,4.6285,3.9388,4.9638,4.9111,5.3133,5.4763,4.1577,2.3883,3.8673,3.9956,5.1214,2.2687,4.2504,2.7407,3.4517,1.625,5.2849,3.229,3.7866,2.7883,5.0203,3.85,4.2749,2.701,5.1185,4.524,3.3885,0,5.6777,1.3798,4.8793,4.7191,4.7833,2.6897,2.8069,2.3713,6.2832,4.6816,1.6572,3.8147,4.9108,2.6472,2.6959,4.3178,4.9223,5.5068,4.5776,5.703,5.1556,4.1519
30,5.9625,3.8861,6.119,8.8207,3.7725,2.6913,3.1026,5.1639,7.2838,4.1252,8.9469,5.2567,6.6998,9.401,6.6968,7.9052,5.147,9.3993,8.8307,6.8778,7.2221,10.111,6.1456,7.8275,7.0992,4.6299,10.196,8.9073,5.6777,0,4.579,9.2816,8.4886,3.5586,8.1458,3.826,7.006,2.5177,2.2955,6.2635,5.2593,2.0609,7.1401,5.6921,7.856,4.0665,3.6193,8.6941,7.5866,9.2468,7.1802
31,3.6968,4.3826,4.1499,6.0716,4.7122,4.731,4.7594,3.7494,3.5896,3.4131,5.3075,5.24,3.4305,5.3573,3.3786,4.6645,2.2306,6.4008,4.5243,3.8324,3.3486,6.2144,4.2679,5.0573,3.6394,4.8949,5.6918,4.4121,1.3798,4.579,0,5.8318,5.5491,4.173,3.6491,1.5332,3.1025,5.3973,3.6942,1.7951,2.872,3.6663,2.7934,2.3071,4.5575,4.0501,4.1757,4.7019,5.4871,5.4242,3.7971
32,7.1279,8.396,8.2571,3.179,7.7871,9.0249,9.8232,8.9702,5.3376,8.4857,2.7822,6.0834,4.0218,6.4571,6.8735,3.1467,5.2625,2.3359,3.361,8.2933,6.8467,1.7452,3.663,1.8616,2.3574,6.0021,4.6573,5.3504,4.8793,9.2816,5.8318,0,1.2614,6.4894,3.732,7.3435,2.8388,8.5577,7.4046,5.0187,8.3536,8.1811,6.0924,4.8058,3.2523,6.6741,8.764,5.3431,4.9226,4.486,5.6817
33,6.8029,7.6794,8.0056,2.694,6.8689,8.2123,9.1792,8.7072,5.3402,8.0357,3.0084,4.9421,3.6692,6.8917,6.8298,2.8793,4.7827,2.0842,3.9675,8.3488,7.009,2.7648,2.565,0.72471,2.0235,4.8692,5.523,5.9365,4.7191,8.4886,5.5491,1.2614,0,5.5235,4.2918,7.029,2.8782,7.5791,6.5899,5.1151,8.2721,7.5142,6.3892,4.6388,3.4141,5.9663,8.3081,5.9191,4.7029,5.1416,5.8832
34,6.273,5.0304,7.071,6.4532,3.9181,4.5033,5.6679,6.8076,6.6033,5.6981,6.9317,3.1446,5.1874,8.9086,6.9009,5.928,4.3104,6.793,7.212,7.7648,7.3487,7.7184,3.2397,4.9085,4.7523,1.5378,8.8308,8.0573,4.7833,3.5586,4.173,6.4894,5.5235,0,6.6391,4.5927,4.8831,2.0721,1.5334,5.3177,6.3589,2.8666,6.7422,4.0538,5.3092,1.9836,4.3689,7.273,4.8504,7.2525,5.8594
35,5.3322,7.2564,5.9981,5.1173,7.4232,7.9928,8.1241,6.3411,3.4185,6.3997,3.4661,6.9961,3.4993,3.9022,4.3133,3.7715,4.031,4.9257,1.7016,5.0927,3.6663,3.4047,4.9366,4.2639,2.8393,6.8512,2.4335,2.0737,2.6897,8.1458,3.6491,3.732,4.2918,6.6391,0,4.9572,1.9923,8.4161,6.7766,2.142,5.3033,6.9729,2.5356,3.2871,3.4099,6.3401,7.0984,2.9522,5.435,3.3139,3.6429
36,4.1562,4.3103,4.1737,7.5057,4.9437,4.3738,3.9691,3.0796,4.6703,2.9141,6.7843,6.0469,4.795,6.2359,3.8943,6.107,3.3442,7.8971,5.9216,3.6609,3.8238,7.7274,5.5255,6.5145,5.1578,5.5998,6.8998,5.4286,2.8069,3.826,1.5332,7.3435,7.029,4.5927,4.9572,0,4.577,5.247,3.6066,2.9166,1.835,3.068,3.39,3.2914,5.7571,4.2868,3.3546,5.5094,6.3488,6.4384,4.3946
37,5.3203,6.5224,6.23,4.263,6.2593,7.0422,7.5387,6.512,3.8504,6.146,3.3427,5.3749,2.8727,5.3032,4.8699,3.1496,3.3037,4.1002,2.7279,5.9221,4.675,3.4545,3.12,2.6822,1.3536,5.0016,4.1669,3.8723,2.3713,7.006,3.1025,2.8388,2.8782,4.8831,1.9923,4.577,0,6.8065,5.303,2.2578,5.5436,5.7796,3.5776,2.1875,2.2008,4.7347,6.2007,3.5737,3.9924,3.4511,3.4164
38,7.1943,5.212,7.7479,8.2905,4.1899,4.1558,5.2754,7.1751,8.0477,6.0045,8.82,4.2965,6.8634,10.363,7.9905,7.7509,5.6926,8.7393,9.0486,8.5797,8.5156,9.7424,5.2041,6.9491,6.7343,3.0492,10.614,9.6476,6.2832,2.5177,5.3973,8.5577,7.5791,2.0721,8.4161,5.247,6.8065,0,1.7838,6.8136,6.9145,2.6467,8.0635,5.6517,7.202,3,4.2865,8.8536,6.4689,8.9991,7.2684
39,6.0423,4.6548,6.5727,7.4385,3.9973,3.9205,4.7268,5.9248,6.6597,4.9192,7.612,4.2147,5.6374,8.8494,6.5649,6.6364,4.3881,7.824,7.5527,7.0553,6.9215,8.4658,4.3863,5.9796,5.4444,2.9703,9.0226,7.9924,4.6816,2.2955,3.6942,7.4046,6.5899,1.5334,6.7766,3.6066,5.303,1.7838,0,5.0678,5.2965,1.3701,6.2967,3.9729,5.8121,1.889,3.0724,7.1627,5.3767,7.4365,5.6037
40,4.681,6.0258,5.1427,6.021,6.3072,6.5015,6.4818,4.9173,3.6442,4.936,4.8106,6.3586,3.6798,4.7717,3.807,4.5701,3.2462,6.0779,3.4843,4.1362,3.2008,5.2152,4.7087,4.8322,3.2999,5.935,4.3568,3.2264,1.6572,6.2635,1.7951,5.0187,5.1151,5.3177,2.142,2.9166,2.2578,6.8136,5.0678,0,3.399,5.0154,1.5551,1.8699,3.5529,4.8088,5.047,3.0334,4.9598,3.8549,2.64
41,4.9735,5.6575,4.579,8.7674,6.5973,5.8232,4.9566,3.1367,5.3122,3.7533,7.7034,7.8307,5.9758,6.1797,4.1865,7.2452,4.718,9.0864,6.4241,3.0267,3.6099,8.4876,7.1269,7.8486,6.348,7.4069,6.9477,5.3186,3.8147,5.2593,2.872,8.3536,8.2721,6.3589,5.3033,1.835,5.5436,6.9145,5.2965,3.399,0,4.4873,3.0172,4.2623,6.5993,5.748,4.0882,5.4194,7.3318,6.668,4.5967
42,6.2953,5.0333,6.5667,8.422,4.814,4.2406,4.5457,5.5383,6.998,4.7735,8.328,5.483,6.3144,8.9761,6.6028,7.4354,4.9132,8.7826,7.953,6.6786,6.7787,9.1272,5.4969,6.9423,6.176,4.3296,9.2403,8.0418,4.9108,2.0609,3.6663,8.1811,7.5142,2.8666,6.9729,3.068,5.7796,2.6467,1.3701,5.0154,4.4873,0,6.0072,4.0748,6.2174,2.3716,1.8588,7.0024,5.7713,7.504,5.3557
43,4.9411,6.6916,5.065,7.0516,7.3111,7.2752,6.9068,4.7165,3.8839,5.183,5.5481,7.7047,4.6185,4.2197,3.6264,5.5067,4.2026,7.1135,3.8344,3.3348,2.5138,5.9137,6.1728,6.1702,4.5783,7.4096,4.0815,2.6329,2.6472,7.1401,2.7934,6.0924,6.3892,6.7422,2.5356,3.39,3.5776,8.0635,6.2967,1.5551,3.0172,6.0072,0,3.2801,4.7609,6.1541,5.7645,3.1445,6.2371,4.3677,3.2738
44,5.7708,6.3521,6.3825,6.1677,6.1848,6.4848,6.7874,6.0066,4.9881,5.6832,5.4368,5.7623,4.287,6.4869,5.3192,5.0237,3.7918,6.1272,4.5873,5.7447,4.9698,5.6021,3.9859,4.3321,3.2421,4.8357,5.7176,4.9245,2.6959,5.6921,2.3071,4.8058,4.6388,4.0538,3.2871,3.2914,2.1875,5.6517,3.9729,1.8699,4.2623,4.0748,3.2801,0,2.5018,3.1805,4.1198,3.2548,3.2773,3.573,2.0254
45,7.4223,8.2668,8.2562,5.7367,7.7934,8.5084,9.059,8.2406,6.032,7.8889,5.0747,6.5421,4.9929,7.2278,6.9275,5.0379,5.2948,5.2645,4.4627,7.6591,6.5288,4.3777,4.133,3.4995,3.1155,5.6082,5.4965,5.4761,4.3178,7.856,4.5575,3.2523,3.4141,5.3092,3.4099,5.7571,2.2008,7.202,5.8121,3.5529,6.5993,6.2174,4.7609,2.5018,0,4.5361,6.2525,3.1085,2.158,2.2573,2.8125
46,7.11,6.2814,7.73,7.4741,5.562,5.7384,6.4614,7.1055,7.1513,6.308,7.5384,5.0089,5.9846,9.156,7.3129,6.7489,5.0934,7.597,7.3373,7.7655,7.3868,7.9349,4.2863,5.4967,5.1307,3.3497,8.731,7.9148,4.9223,4.0665,4.0501,6.6741,5.9663,1.9836,6.3401,4.2868,4.7347,3,1.889,4.8088,5.748,2.3716,6.1541,3.1805,4.5361,0,3.0415,6.1535,3.6425,6.1908,4.5129
47,7.3166,6.5264,7.4054,9.5378,6.5542,5.8498,5.747,6.0873,7.7526,5.7334,9.1371,7.1548,7.3204,9.3717,7.2272,8.4239,6.0002,9.7546,8.38,6.8522,7.0416,9.6551,6.6972,7.8415,6.9413,5.8796,9.4021,8.159,5.5068,3.6193,4.1757,8.764,8.3081,4.3689,7.0984,3.3546,6.2007,4.2865,3.0724,5.047,4.0882,1.8588,5.7645,4.1198,6.2525,3.0415,0,6.4002,5.6771,7.0657,4.6754
48,7.6056,9.0326,8.015,7.6131,9.1536,9.3979,9.3724,7.6877,6.1181,7.8971,6.2128,8.701,6.0809,6.3955,6.498,6.4422,6.1264,7.2372,4.5799,6.4786,5.5139,5.5402,6.5299,5.9867,4.895,7.9303,4.6644,4.3036,4.5776,8.6941,4.7019,5.3431,5.9191,7.273,2.9522,5.5094,3.5737,8.8536,7.1627,3.0334,5.4194,7.0024,3.1445,3.2548,3.1085,6.1535,6.4002,0,4.4852,1.5186,1.8067
49,8.7125,8.9101,9.5043,7.1667,8.2036,8.802,9.4735,9.2071,7.7309,8.7036,6.9288,6.8236,6.5004,9.1822,8.4314,6.6631,6.4596,6.7559,6.5387,9.0075,8.1167,6.3415,4.7856,4.6896,4.7004,5.3818,7.6332,7.4568,5.703,7.5866,5.4871,4.9226,4.7029,4.8504,5.435,6.3488,3.9924,6.4689,5.3767,4.9598,7.3318,5.7713,6.2371,3.2773,2.158,3.6425,5.6771,4.4852,0,3.7018,3.4958
50,8.283,9.6026,8.8905,7.1945,9.4625,9.949,10.167,8.746,6.6416,8.7627,5.986,8.5662,6.2182,7.0871,7.3481,6.2916,6.5328,6.6409,4.6814,7.6588,6.5369,4.931,6.1817,5.3523,4.636,7.7264,4.9469,5.0378,5.1556,9.2468,5.4242,4.486,5.1416,7.2525,3.3139,6.4384,3.4511,8.9991,7.4365,3.8549,6.668,7.504,4.3677,3.573,2.2573,6.1908,7.0657,1.5186,3.7018,0,2.4876
51,7.2505,8.1217,7.6533,7.6748,8.1344,8.243,8.278,7.0612,6.2227,7.0852,6.6141,7.7734,5.911,7.0821,6.413,6.5093,5.5605,7.4414,5.289,6.3525,5.6365,6.2879,5.8421,5.7814,4.733,6.7489,5.8558,5.1636,4.1519,7.1802,3.7971,5.6817,5.8832,5.8594,3.6429,4.3946,3.4164,7.2684,5.6037,2.64,4.5967,5.3557,3.2738,2.0254,2.8125,4.5129,4.6754,1.8067,3.4958,2.4876,0
